order_id,user_id,order_time,category,product,price,qty,is_purchase
O000001,  u00103 ,2025-01-08 04:10:00,Home,Lamp, 29.0 ,4,1
O000002,u01394,2025-01-20T19:08:00,Food,Coffee,44.98,1,1
O000003,u01186,2025-01-05T11:11:00,IT,Monitor,17.41,2,1
O000004,u00230,2025/01/06 14:10:00,Book,Novel,14.09,1,1
O000005,u02088,2025-01-09 21:03:00,Fashion,Tshirt,16.09,,0
O000006,u02626,2025/01/06 07:40:00,,Snack,6.8,1,1
O000007,u00459,2025-01-01 16:58:00,Food,Sauce,12.3,1,1
O000008,u01635,2025/01/07 17:42:00,Home,  Bedding ,free,4,0
O000009,u02963,2025-01-14 16:03:00,Beauty,Shampoo,17.81,1,1
O000010,u03582,2025-01-05 09:52:00,IT,  Router ,24.45,2,0
O000011,u03922,2025-01-01 20:21:00,Home,AirFryer,38.21,1,1
O000012,u03647,2025-01-03T12:28:00,Beauty,Serum,27.19,1,1
O000013,u00874,2025-01-03T03:58:00,Beauty,Cleanser, 18.61 ,1,1
O000014,  u02478 ,2025-01-10 08:03:00,Book,Workbook, 46.26 ,1,1
O000015,u03703,2025-01-08 14:05:00,Book,Ebook,34.79,1,1
O000016,u03611,2025/01/03 19:11:00,Fashion,Tshirt,41.79,1,0
O000017,u01345,2025-01-03T13:34:00,Food,Sauce,29.93,1,1
O000018,u02362,2025/01/03 09:39:00,Book,Comics,44.05,1,1
O000019,u01723,2025-01-08T06:33:00,Home,  Vacuum ,13.16,3,0
O000020,u02537,2025/01/04 10:22:00,Food,  Snack ,23.44,4,1
O000021,u03627,2025-01-05 06:43:00,IT,Headset,10.47,1,1
O000022,u03047,2025/01/09 03:49:00,Sports,Jersey,45.86,2,1
O000023,u01704,2025-01-16 01:59:00,IT,,15.1,1,1
O000024,u02740,2025-01-13 17:26:00,Home,Vacuum,18.15,4,0
O000025,u01927,2025/01/04 10:16:00,IT,Laptop,21.03,3,1
O000026,u03356,2025/01/05 07:19:00,Book,Comics,19.67,2,1
O000027,u02073,2025-01-17 05:44:00,Home,Lamp,19.97,1,1
O000028,u03612,2025-01-03 20:15:00,Fashion,Jeans,15.16,2,1
O000029,u02011,2025-01-01T13:00:00,Fashion,Tshirt,12.89,3,1
O000030,u01984,2025-01-03T03:33:00,Food,Cereal,13.52,2,1
O000031,u01805,2025-01-02 20:57:00,Food,Coffee,30.08,2,1
O000032,u02411,2025-01-08T13:41:00,Fashion,Jacket,24.42,,1
O000033,u02896,2025/01/01 13:33:00,Food,Cereal,13.54,3,1
O000034,u02867,2025-01-05T07:41:00,  Fashion ,Jacket,17.47,2,1
O000035,u01140,2025-01-16 16:02:00,Book,Ebook,14.13,2,1
O000036,u00005,2025-01-02 00:03:00,Home,AirFryer,62.18,1,1
O000037,u03447,2025-01-02 20:55:00,IT,Router,55.61,4,1
O000038,u03361,2025-01-13 23:20:00,IT,SSD,112.56,1,0
O000039,u01582,2025-01-13 10:49:00,,Bedding,33.55,3,1
O000040,u03489,2025-01-02 07:30:00,Food,Sauce,29.32,2,1
O000041,u01329,2025/01/01 08:40:00,Sports,YogaMat,29.25,2,1
O000042,u02239,2025-01-07T20:58:00,Book,Novel,15.98,1,1
O000043,u03051,2025/01/08 22:58:00,IT,Router,15.63,2,0
O000044,u01209,2025-01-03T21:07:00,Food,Cereal,12.45,4,1
O000045,u01628,2025-01-13T16:48:00,,Ball,23.42,1,1
O000046,u01238,2025/01/02 12:57:00,,Vacuum,30.1,4,1
O000047,u03898,2025-01-17T00:08:00,Food,Snack,12.9,2,1
O000048,u00998,2025/01/15 23:24:00,Book,Ebook,32.77,3,0
O000049,u00065,2025-01-03 10:49:00,Book,Comics,45.94, 4 ,1
O000050,u02918,2025-01-16T14:50:00,Fashion,Tshirt,19.98,1,1
O000051,u01695,2025/01/12 23:48:00,Food,Sauce,25.4,2,1
O000052,u03579,2025/01/03 06:20:00,Home,Vacuum,12.36,3,1
O000053,u02281,2025/01/08 01:24:00,IT,SSD,34.55,5,1
O000054,u00348,2025-01-01 21:09:00,IT,Mouse,48.49,3,1
O000055,u03144,2025/01/03 05:01:00,Book,Comics,98.38,1,1
O000056,u00472,2025-01-01 13:04:00,Fashion,Tshirt,8.0,1,1
O000057,u02980,2025-01-02 16:24:00,Sports,Bottle,62.57,2,1
O000058,u00280,2025-01-01 15:04:00,Fashion,Sneakers,26.5,1,1
O000059,u02670,2025-01-03 12:00:00,Book,Comics,24.76,3,1
O000060,u02652,2025/01/01 18:53:00,Food,Snack,31.98,2,1
O000061,u02745,2025-01-02T09:22:00,Home,  Bedding ,15.44,1,0
O000062,u01380,2025/01/05 18:14:00,Sports,Ball,66.47,1,1
O000063,u00795,2025/01/04 08:32:00,Food,Cereal,87.64,2,0
O000064,u03709,2025-01-09 05:05:00,Beauty,Serum,45.58,1,1
O000065,u00569,2025-01-01 21:43:00,  Sports ,Bottle,21.28,1,1
O000066,u01759,2025-01-04 11:51:00,IT,GPU,75.43,2,1
O000067,u00182,2025/01/05 05:15:00,Food,Chocolate,58.25,3,1
O000068,u03086,2025-01-01 17:45:00,Home,Desk,10.37,2,0
O000069,u02235,2025-01-06 02:14:00,Food,Tea,36.17,1,1
O000070,u00585,2025-01-05 17:10:00,Sports,Ball,26.46,2,1
O000071,u01586,2025-01-03 11:13:00,Beauty,Lotion,18.32,4,1
O000072,u00646,2025/01/10 16:36:00,Home,Bedding,27.79,1,1
O000073,u01678,2025/01/12 23:55:00,Sports,Ball,43.43,1,0
O000074,u00324,2025/01/09 01:10:00,Food,Coffee,58.65,3,1
O000075,u00864,2025-01-16 04:01:00,Sports,Ball,16.42,3,1
O000076,u01634,2025-01-14 06:27:00,Book,Comics,49.26,4,1
O000077,u01264,2025-01-01T09:27:00,Fashion,  Tshirt ,21.25,2,1
O000078,u00798,2025-01-03 11:17:00,Food,Chocolate,40.95,1,1
O000079,u02128,2025-01-09T02:06:00,Fashion,Jeans,50.55,5,1
O000080,u02578,2025-01-05 02:56:00,IT,  Router ,11.97, 2 ,1
O000081,u03175,2025-01-13 11:32:00,Beauty,MaskPack,7.0,1,1
O000082,u00922,2025-01-02T04:34:00,Food,Sauce,70.97, 1 ,1
O000083,,2025/01/01 18:04:00,Fashion,Jeans,28.42,2,1
O000084,u01667,2025-01-01 19:49:00,Home,Vacuum,18.1,2,1
O000085,u03068,2025-01-01 19:37:00,Sports,Shoes,16.47, 3 ,1
O000086,u02503,2025/01/05 02:28:00,Sports,Bottle,-55.48,4,0
O000087,u02736,2025-01-02 00:51:00,IT,Router,16.29,1,1
O000088,u03382,2025-01-07 03:40:00,Book,Textbook,23.83,1,1
O000089,u01858,2025-01-19T16:22:00,Book,  Ebook , 19.97 ,4,1
O000090,u03137,2025-01-20 19:00:00,Home,Bedding,32.29,1,1
O000091,u02946,2025-01-28 20:54:00,Beauty,MaskPack,25.58,1,0
O000092,u01798,2025-01-05T19:36:00,Book,Ebook,44.26,1,0
O000093,u02781,2025-01-14 04:33:00,Fashion,Cap,50.41,4,0
O000094,u01045,2025-01-03T03:58:00,Book,Comics,72.94,1,0
O000095,u00779,2025/01/03 18:07:00,Home,Chair,22.32,4,1
O000096,u01519,2025-01-21 16:39:00,  Food ,Noodles,10.88,1,0
O000097,u01443,2025-01-02 07:39:00,Book,  Textbook , 34.56 ,,1
O000098,u00896,2025-01-16 07:52:00,Beauty,MaskPack,43.92,5,1
O000099,u00988,2025/01/10 13:49:00,Book,Ebook,23.47,1,
O000100,u02048,2025/01/03 23:55:00,Sports,Jersey,20.71,2,1
O000101,u02405,2025-01-12T10:43:00,Book,Workbook,22.98,4,0
