order_id,user_id,order_time,category,product,price,qty
O1,u1,2025-01-07 10:00:00,IT,Keyboard,100,3
O2,u5,2025-01-12 10:00:00,Food,Laptop,90,1
O3,u4,2025-01-07 10:00:00,Book,Laptop,98,4
O4,u2,2025-01-05 10:00:00,Book,Laptop,33,2
O5,u2,2025-01-07 10:00:00,Food,Snack,71,2
O6,u1,2025-01-04 10:00:00,Food,Book,61,2
O7,u1,2025-01-05 10:00:00,IT,Snack,36,1
O8,u4,2025-01-02 10:00:00,IT,Snack,47,3
O9,u3,2025-01-06 10:00:00,Book,Keyboard,88,4
O10,u4,2025-01-04 10:00:00,Book,Keyboard,97,5
O11,u3,2025-01-10 10:00:00,IT,Laptop,37,2
O12,u5,2025-01-02 10:00:00,IT,Snack,100,2
O13,u3,2025-01-10 10:00:00,Book,Keyboard,37,5
O14,u1,2025-01-11 10:00:00,IT,Snack,31,2
O15,u3,2025-01-03 10:00:00,IT,Snack,18,3
O16,u3,2025-01-10 10:00:00,IT,Snack,63,2
O17,u3,2025-01-05 10:00:00,Food,Keyboard,14,4
O18,u3,2025-01-02 10:00:00,Book,Snack,70,1
O19,u2,2025-01-09 10:00:00,Book,Laptop,30,2
O20,u4,2025-01-04 10:00:00,Book,Keyboard,65,2
O21,u2,2025-01-06 10:00:00,Food,Snack,62,5
O22,u4,2025-01-02 10:00:00,Book,Snack,56,1
O23,u4,2025-01-11 10:00:00,Food,Laptop,20,5
O24,u5,2025-01-03 10:00:00,Food,Book,82,5
O25,u5,2025-01-03 10:00:00,Food,Book,63,3
O26,u4,2025-01-10 10:00:00,IT,Book,76,4
O27,u5,2025-01-03 10:00:00,Food,Snack,42,4
O28,u5,2025-01-04 10:00:00,IT,Keyboard,91,1
O29,u5,2025-01-09 10:00:00,Food,Snack,94,3
O30,u2,2025-01-09 10:00:00,Food,Snack,29,5
O31,u1,2025-01-12 10:00:00,Book,Laptop,13,5
O32,u5,2025-01-11 10:00:00,IT,Snack,87,3
O33,u5,2025-01-08 10:00:00,IT,Keyboard,97,5
O34,u4,2025-01-10 10:00:00,Book,Snack,30,5
O35,u3,2025-01-10 10:00:00,Food,Book,12,2
O36,u5,2025-01-07 10:00:00,Book,Laptop,82,2
O37,u1,2025-01-02 10:00:00,Food,Book,76,1
O38,u5,2025-01-08 10:00:00,Food,Snack,11,5
O39,u1,2025-01-04 10:00:00,Book,Book,88,5
O40,u4,2025-01-02 10:00:00,Book,Keyboard,26,4
O41,u4,2025-01-05 10:00:00,Food,Laptop,10,4
O42,u5,2025-01-02 10:00:00,Book,Book,41,3
O43,u5,2025-01-10 10:00:00,Book,Keyboard,84,3
O44,u4,2025-01-04 10:00:00,Book,Book,94,1
O45,u5,2025-01-09 10:00:00,IT,Keyboard,29,4
O46,u1,2025-01-02 10:00:00,Food,Keyboard,61,4
O47,u3,2025-01-06 10:00:00,IT,Snack,17,4
O48,u5,2025-01-04 10:00:00,IT,Book,14,5
O49,u4,2025-01-06 10:00:00,IT,Snack,36,4
O50,u4,2025-01-09 10:00:00,IT,Snack,95,4
O51,u2,2025-01-03 10:00:00,Book,Snack,86,2
O52,u2,2025-01-12 10:00:00,Book,Snack,92,5
O53,u1,2025-01-09 10:00:00,Book,Book,15,5
O54,u5,2025-01-11 10:00:00,IT,Keyboard,41,2
O55,u2,2025-01-03 10:00:00,Food,Keyboard,15,3
O56,u3,2025-01-05 10:00:00,IT,Book,70,5
O57,u3,2025-01-08 10:00:00,IT,Keyboard,81,1
O58,u3,2025-01-06 10:00:00,IT,Book,69,2
O59,u3,2025-01-10 10:00:00,Food,Book,73,3
O60,u3,2025-01-05 10:00:00,Book,Book,70,4
O61,u5,2025-01-05 10:00:00,Book,Book,68,4
O62,u1,2025-01-10 10:00:00,Book,Laptop,71,1
O63,u3,2025-01-11 10:00:00,IT,Laptop,25,3
O64,u2,2025-01-09 10:00:00,Book,Laptop,51,3
O65,u2,2025-01-04 10:00:00,Food,Snack,51,1
O66,u3,2025-01-10 10:00:00,Book,Laptop,27,4
O67,u2,2025-01-09 10:00:00,Book,Laptop,45,5
O68,u2,2025-01-04 10:00:00,Book,Book,70,2
O69,u2,2025-01-03 10:00:00,Food,Keyboard,51,2
O70,u5,2025-01-05 10:00:00,Book,Snack,19,5
O71,u2,2025-01-09 10:00:00,IT,Laptop,61,2
O72,u4,2025-01-08 10:00:00,Book,Laptop,54,1
O73,u2,2025-01-10 10:00:00,Book,Keyboard,89,5
O74,u2,2025-01-10 10:00:00,IT,Keyboard,39,5
O75,u2,2025-01-05 10:00:00,Book,Snack,89,5
O76,u5,2025-01-05 10:00:00,Food,Book,52,5
O77,u3,2025-01-05 10:00:00,Book,Laptop,28,1
O78,u1,2025-01-04 10:00:00,Book,Keyboard,66,3
O79,u3,2025-01-08 10:00:00,IT,Laptop,15,1
O80,u1,2025-01-09 10:00:00,IT,Book,62,3
O81,u4,2025-01-07 10:00:00,Food,Keyboard,91,2
O82,u4,2025-01-11 10:00:00,Food,Laptop,88,2
O83,u3,2025-01-07 10:00:00,Food,Laptop,93,5
O84,u4,2025-01-03 10:00:00,IT,Keyboard,56,3
